id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
101795463,Tue Nov 23 2021 11:11:11 GMT-0700 (MST),11/23/21,2021-11-23 18:11:11 UTC,Mountain Time (US & Canada),3184750,court_rae,2021-11-24 01:18:32 UTC,2021-11-24 01:20:36 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/101795463,https://inaturalist-open-data.s3.amazonaws.com/photos/170045830/medium.jpg,,,,1,0,FALSE,3,"Arizona - Sonora Desert Museum, Tucson, AZ, US",32.24334667,-111.1662138,4,4,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
101800231,11/23/21 14:36,11/23/21,2021-11-23 21:36:31 UTC,Mountain Time (US & Canada),4990037,jamesmuehlner,2021-11-24 03:03:30 UTC,2021-11-24 03:04:41 UTC,research,,https://www.inaturalist.org/observations/101800231,https://static.inaturalist.org/photos/170054906/medium.jpeg,,,Found a single wing on the ground.,1,0,FALSE,2,"Tucson, AZ 85718, USA",32.359146,-110.932314,,,,,FALSE,gps,gps,Monarch,Danaus plexippus,Monarch,Insecta,48662
101820385,Tue Nov 23 2021 11:27:47 GMT-0700 (MST),11/23/21,2021-11-23 18:27:47 UTC,Mountain Time (US & Canada),20834,entomo-logic,2021-11-24 12:05:22 UTC,2021-11-24 12:39:58 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/101820385,https://inaturalist-open-data.s3.amazonaws.com/photos/170085224/medium.jpg,,,,1,0,FALSE,3,"Tumacácori National Historical Park, Carmen, AZ, US",31.56769667,-111.0503222,3,3,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
101843474,2021/11/21 12:52 PM MST,11/21/21,2021-11-21 19:52:00 UTC,Arizona,1626,davidbygott,2021-11-24 21:16:27 UTC,2021-11-24 22:31:59 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/101843474,https://inaturalist-open-data.s3.amazonaws.com/photos/170129833/medium.jpeg,,,,1,0,FALSE,,"Tucson, AZ, USA",32.26203222,-111.0310007,51,51,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
101907769,11/25/21 12:28,11/25/21,2021-11-25 19:28:58 UTC,Mountain Time (US & Canada),64881,lynjackson,2021-11-25 22:13:49 UTC,2021-11-25 22:19:00 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/101907769,https://inaturalist-open-data.s3.amazonaws.com/photos/170248921/medium.jpeg,,,,1,0,FALSE,2,"Maricopa County, AZ, USA",32.54703871,-112.8725759,81,81,,,FALSE,gps,gps,Monarch,Danaus plexippus,Monarch,Insecta,48662
101912438,Wed Nov 24 2021 10:57:55 GMT-0700 (MST),11/24/21,2021-11-24 17:57:55 UTC,Mountain Time (US & Canada),1515318,saguaro5,2021-11-26 00:00:41 UTC,2021-12-01 03:30:34 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/101912438,https://inaturalist-open-data.s3.amazonaws.com/photos/170780907/medium.jpg,,,,1,0,FALSE,3,"Scottsdale Community College, Scottsdale, AZ, US",33.51188991,-111.8840025,5,5,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
102024302,2021/11/27 12:07 PM HST,11/27/21,2021-11-27 22:07:00 UTC,Hawaii,1534181,dellakilleen,2021-11-27 19:11:22 UTC,2021-11-27 23:32:28 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/102024302,https://inaturalist-open-data.s3.amazonaws.com/photos/170469675/medium.jpeg,,,,1,0,FALSE,,"5311 E Calle Redonda, Phoenix, AZ 85018, USA",33.4919386,-111.9680619,20,20,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
102059014,Fri Nov 26 2021 13:20:44 GMT-0700 (MST),11/26/21,2021-11-26 20:20:44 UTC,Mountain Time (US & Canada),555891,jammasterjim,2021-11-28 03:55:44 UTC,2021-11-28 04:47:09 UTC,research,,https://www.inaturalist.org/observations/102059014,https://static.inaturalist.org/photos/170533552/medium.jpg,,,,1,0,FALSE,3,"Pittsburg Point, Lake Havasu City, AZ, US",34.46650833,-114.3480133,4,4,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
102192770,11/28/21 12:34,11/28/21,2021-11-28 19:34:15 UTC,Mountain Time (US & Canada),316772,jackkay,2021-11-29 20:42:27 UTC,2021-11-29 23:31:18 UTC,research,,https://www.inaturalist.org/observations/102192770,https://static.inaturalist.org/photos/170776096/medium.jpeg,,,,1,0,FALSE,2,"Gilbert, AZ 85298, USA",33.23969444,-111.7645194,,,,,FALSE,gps,gps,Monarch,Danaus plexippus,Monarch,Insecta,48662
102217182,2021/11/29 2:52 PM UTC,11/29/21,2021-11-29 14:52:00 UTC,UTC,1515318,saguaro5,2021-11-30 03:20:00 UTC,2021-11-30 16:23:39 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/102217182,https://inaturalist-open-data.s3.amazonaws.com/photos/170819796/medium.jpeg,,,,2,0,FALSE,,"6202 E Larkspur Dr, Scottsdale, AZ 85254, USA",33.6007075,-111.9466366,186,186,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
